sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,140.1924,50,35,20,5157.542319,0.401897165,23.99562159,13605.52868
OAT_N,142.1203,50,35,20,5169.820359,0.404728287,24.28292634,13615.52821
OAT_N,142.7323,50,35,20,5173.717947,0.405627009,24.37412947,13618.7025
OAT_N,123.1199,50,35,20,5048.814253,0.376826195,21.4513971,13516.97798
OAT_N,140.8317,50,35,20,5161.61377,0.402835977,24.09089309,13608.84457
OAT_N,147.0393,50,35,20,5201.147543,0.411951839,25.01597893,13641.04181
OAT_N,140.4994,50,35,20,5159.497482,0.402347995,24.04137218,13607.12101
OAT_N,122.2009,50,35,20,5042.961502,0.375476644,21.31444339,13512.21136
OAT_N,139.0408,50,35,20,5150.20823,0.40020604,23.82400473,13599.55563
OAT_N,135.1165,50,35,20,5125.2159,0.394443205,23.23918703,13579.20128
OAT_N,145.0671,50,35,20,5188.587374,0.409055663,24.72207238,13630.81251
OAT_N,123.9685,50,35,20,5054.218654,0.378072365,21.57785948,13521.37945
OAT_N,141.4909,50,35,20,5165.811957,0.403804013,24.18913019,13612.26367
OAT_N,121.0487,50,35,20,5035.623591,0.373784638,21.14273711,13506.23519
OAT_N,121.0789,50,35,20,5035.815923,0.373828986,21.14723765,13506.39183
OAT_N,148.2257,50,35,20,5208.70326,0.413694068,25.19278185,13647.19536
OAT_N,136.5883,50,35,20,5134.589218,0.396604544,23.45852161,13586.83514
OAT_N,125.3934,50,35,20,5063.293284,0.38016483,21.7902048,13528.77004
OAT_N,138.6961,50,35,20,5148.01297,0.399699848,23.77263591,13597.76776
OAT_N,138.1596,50,35,20,5144.596212,0.398911998,23.69268414,13594.98507
OAT_N,130.6705,50,35,20,5096.901067,0.387914253,22.57662313,13556.14102
OAT_N,138.9407,50,35,20,5149.570732,0.400059043,23.80908735,13599.03644
OAT_N,127.833,50,35,20,5078.830141,0.383747384,22.1537655,13541.42363
OAT_N,136.9982,50,35,20,5137.19971,0.397206482,23.51960684,13588.96118
OAT_N,146.3245,50,35,20,5196.595262,0.410902155,24.90945606,13637.33432
OAT_N,140.2547,50,35,20,5157.939083,0.401988653,24.00490583,13605.85182
OAT_N,145.6815,50,35,20,5192.500247,0.40995791,24.81363317,13633.99925
OAT_N,142.027,50,35,20,5169.226168,0.404591276,24.26902234,13615.04429
OAT_N,132.8553,50,35,20,5110.815203,0.391122632,22.90221234,13567.47302
OAT_N,146.8878,50,35,20,5200.182699,0.411729362,24.99340168,13640.25602
